,ligand,receptor,JS_Treg,JS_Th0,delta,frac_pos_Treg,frac_pos_Th0,mean_recep_Treg,mean_recep_Th0,mean_lig,n_Treg,n_Th0
57,Cd80,Cd28,0.5159941181534848,0.5889866801496023,-0.07299256199611748,0.5338785046728972,0.5990629183400268,4.622020721435547,5.450109481811523,0.3400360643863678,1712,1494
58,Cd80,Cd274,0.6756477204780841,0.7488202000964078,-0.07317247961832374,0.21495327102803738,0.1392235609103079,1.805928349494934,1.1996872425079346,0.3400360643863678,1712,1494
59,Lama1,Itga1,0.7311001132181716,0.8054892452605695,-0.07438913204239794,0.17932242990654207,0.12048192771084337,1.4977444410324097,1.0389522314071655,0.16024239361286163,1712,1494
60,Vtn,Itga8,0.7912407350946001,0.8659094869318323,-0.0746687518372322,0.11682242990654206,0.060240963855421686,0.9751006364822388,0.5039812922477722,0.20507098734378815,1712,1494
61,Il2,Il2rg,0.5731735875105074,0.648377055884421,-0.07520346837391356,0.8276869158878505,0.7161981258366801,7.5729546546936035,6.6432318687438965,0.03880273178219795,1712,1494
62,H2-DMb2,Cd4,0.48534629832126697,0.5606110729662217,-0.07526477464495474,0.7038551401869159,0.715528781793842,6.230193614959717,6.7079854011535645,3.118966579437256,1712,1494
63,Tnc,Itgb6,0.7628860282053139,0.8389069181256882,-0.07602088992037426,0.12149532710280374,0.07429718875502007,1.0139437913894653,0.6399940848350525,1.6642721891403198,1712,1494
64,Col1a1,Itga1,0.7128341454087828,0.789215246022003,-0.07638110061322023,0.17932242990654207,0.12048192771084337,1.4977444410324097,1.0389522314071655,3.2534241676330566,1712,1494
65,Jam3,F11r,0.696767198709335,0.7732303863080255,-0.07646318759869053,0.22488317757009346,0.14190093708165996,1.8808653354644775,1.2172679901123047,0.3635479509830475,1712,1494
66,Lamc3,Itgb1,0.6081718082280739,0.6847243837938305,-0.07655257556575656,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,0.2575504779815674,1712,1494
67,Fn1,Itgb6,0.7629897898196848,0.8400045024617815,-0.0770147126420967,0.12149532710280374,0.07429718875502007,1.0139437913894653,0.6399940848350525,5.665269374847412,1712,1494
68,Lamc3,Itga1,0.7544845965653647,0.832271414050317,-0.07778681748495231,0.17932242990654207,0.12048192771084337,1.4977444410324097,1.0389522314071655,0.2575504779815674,1712,1494
69,Il7,Il7r,0.581339033656558,0.6593072371241855,-0.07796820346762745,0.4994158878504673,0.4062918340026774,4.394804000854492,3.715707778930664,0.25374677777290344,1712,1494
70,Il10,Il10rb,0.6235010859321939,0.7017945357248222,-0.07829344979262831,0.42406542056074764,0.2878179384203481,3.594878911972046,2.4941964149475098,0.036466892808675766,1712,1494
71,Lama2,Itga1,0.7230807412873766,0.8029742367677847,-0.07989349548040803,0.17932242990654207,0.12048192771084337,1.4977444410324097,1.0389522314071655,1.2718786001205444,1712,1494
72,Lamb1,Itga1,0.7175385929191174,0.7999405181503603,-0.0824019252312429,0.17932242990654207,0.12048192771084337,1.4977444410324097,1.0389522314071655,1.9755010604858398,1712,1494
73,Col1a1,Itga3,0.6849955546613306,0.7679274169025281,-0.08293186224119753,0.2324766355140187,0.14190093708165996,1.9567375183105469,1.2199097871780396,3.2534241676330566,1712,1494
74,Col4a1,Itga1,0.7124765207437037,0.7954987393249948,-0.08302221858129111,0.17932242990654207,0.12048192771084337,1.4977444410324097,1.0389522314071655,7.091513156890869,1712,1494
75,Lama3,Itga1,0.7232400440495672,0.8063131546235521,-0.08307311057398492,0.17932242990654207,0.12048192771084337,1.4977444410324097,1.0389522314071655,1.4434186220169067,1712,1494
76,Thy1,Itgb3,0.6313851245031886,0.7152247911799818,-0.08383966667679321,0.2716121495327103,0.16934404283801874,2.3167808055877686,1.4891140460968018,1.0864776372909546,1712,1494
77,Lamc2,Itga1,0.7172245727944645,0.8024628201999562,-0.08523824740549168,0.17932242990654207,0.12048192771084337,1.4977444410324097,1.0389522314071655,2.041736364364624,1712,1494
78,Cdh1,Itga1,0.7192804399996012,0.8054278187308613,-0.0861473787312601,0.17932242990654207,0.12048192771084337,1.4977444410324097,1.0389522314071655,3.2274091243743896,1712,1494
79,Spp1,Itga8,0.7841944400559299,0.8710032235399371,-0.08680878348400722,0.11682242990654206,0.060240963855421686,0.9751006364822388,0.5039812922477722,2.048954963684082,1712,1494
80,Lama1,Itgb1,0.5644981255887723,0.6517043893640748,-0.0872062637753025,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,0.16024239361286163,1712,1494
81,Thy1,Itgax,0.6143269287820646,0.7017375270692989,-0.0874105982872343,0.2908878504672897,0.17336010709504684,2.515066623687744,1.523453712463379,1.0864776372909546,1712,1494
82,Tnc,Itga8,0.7749823146761934,0.8625869229775348,-0.08760460830134142,0.11682242990654206,0.060240963855421686,0.9751006364822388,0.5039812922477722,1.6642721891403198,1712,1494
83,Cd86,Cd28,0.5182037812594985,0.6065436447318736,-0.0883398634723751,0.5338785046728972,0.5990629183400268,4.622020721435547,5.450109481811523,0.9740771055221558,1712,1494
84,Lama2,Itga3,0.697999185502457,0.7863883256384512,-0.08838914013599419,0.2324766355140187,0.14190093708165996,1.9567375183105469,1.2199097871780396,1.2718786001205444,1712,1494
85,Lama1,Itga3,0.6975883576046321,0.7865563120661903,-0.08896795446155814,0.2324766355140187,0.14190093708165996,1.9567375183105469,1.2199097871780396,0.16024239361286163,1712,1494
86,Dll1,Notch1,0.59576381396952,0.6850076525952581,-0.08924383862573804,0.4894859813084112,0.4350736278447122,4.200056552886963,3.813051700592041,1.0893017053604126,1712,1494
87,Fn1,Itga8,0.7705863548894606,0.8598459941766626,-0.08925963928720204,0.11682242990654206,0.060240963855421686,0.9751006364822388,0.5039812922477722,5.665269374847412,1712,1494
88,Col1a1,Itgb1,0.497037112512578,0.5863585402283746,-0.08932142771579665,0.6816588785046729,0.6572958500669344,6.052483558654785,6.162197113037109,3.2534241676330566,1712,1494
89,Vtn,Itgb3,0.7005003412256633,0.78991050249679,-0.08941016127112666,0.2716121495327103,0.16934404283801874,2.3167808055877686,1.4891140460968018,0.20507098734378815,1712,1494
90,Igf2,Itgb3,0.6857877552432292,0.7778804431458349,-0.09209268790260572,0.2716121495327103,0.16934404283801874,2.3167808055877686,1.4891140460968018,0.17159707844257355,1712,1494
91,Spp1,Itga5,0.7529419971299619,0.8452195454932063,-0.09227754836324442,0.1314252336448598,0.0823293172690763,1.0850181579589844,0.7042641043663025,2.048954963684082,1712,1494
92,Jam2,Itga3,0.689627479075943,0.7819713629019981,-0.09234388382605507,0.2324766355140187,0.14190093708165996,1.9567375183105469,1.2199097871780396,2.008331060409546,1712,1494
93,Lamb1,Itga3,0.6878272314680768,0.7804439689942942,-0.09261673752621746,0.2324766355140187,0.14190093708165996,1.9567375183105469,1.2199097871780396,1.9755010604858398,1712,1494
94,Spp1,Itgb6,0.7456933346952209,0.8391410310052393,-0.09344769631001837,0.12149532710280374,0.07429718875502007,1.0139437913894653,0.6399940848350525,2.048954963684082,1712,1494
