,ligand,receptor,JS_adventitia_CD4act,JS_TLS_CD4act,delta,frac_pos_adventitia_CD4act,frac_pos_TLS_CD4act,mean_recep_adventitia_CD4act,mean_recep_TLS_CD4act,mean_lig,n_adventitia_CD4act,n_TLS_CD4act
49,F11r,F11r,0.7843172869108879,0.816267505497018,-0.03195021858613012,0.15606936416184972,0.19083333333333333,1.3157379627227783,1.6313389539718628,4.302900314331055,1384,1200
50,Ccl3,Ccr5,0.7908121911055046,0.8237243077111909,-0.03291211660568627,0.2514450867052023,0.1325,2.1961896419525146,1.1479541063308716,0.26408442854881287,1384,1200
51,Jam3,F11r,0.7624930583259792,0.795922610670814,-0.0334295523448348,0.15606936416184972,0.19083333333333333,1.3157379627227783,1.6313389539718628,0.3635479509830475,1384,1200
52,Itgb2,Cd226,0.7329922712764088,0.7676683753992121,-0.03467610412280331,0.2940751445086705,0.31666666666666665,2.5543296337127686,2.7579407691955566,3.785571813583374,1384,1200
53,Dll3,Notch2,0.7845864532398005,0.8193250994268447,-0.03473864618704425,0.37283236994219654,0.37583333333333335,3.2169246673583984,3.2539942264556885,0.01645168475806713,1384,1200
54,Vtn,Itgb3,0.8077901735184747,0.8428800745901228,-0.03508990107164811,0.25939306358381503,0.195,2.242915391921997,1.6854921579360962,0.20507098734378815,1384,1200
55,Col4a1,Itga9,0.8285656083034164,0.8642983725911965,-0.03573276428778005,0.10621387283236994,0.085,0.886751115322113,0.7144564986228943,7.091513156890869,1384,1200
56,Lama1,Itgav,0.7601795255948144,0.7959945734843034,-0.03581504788948897,0.43786127167630057,0.4375,3.7998905181884766,3.8223869800567627,0.16024239361286163,1384,1200
57,Thy1,Itgax,0.7215153133060456,0.7579413172183707,-0.03642600391232509,0.16835260115606937,0.195,1.4443682432174683,1.6973713636398315,1.0864776372909546,1384,1200
58,Tnc,Itgb3,0.7813860808185464,0.8180164211144186,-0.0366303402958722,0.25939306358381503,0.195,2.242915391921997,1.6854921579360962,1.6642721891403198,1384,1200
59,Cd80,Ctla4,0.6709129447235704,0.708009960146731,-0.03709701542316057,0.5151734104046243,0.41,4.717128276824951,3.67844557762146,0.3400360643863678,1384,1200
60,Spp1,Itgb1,0.7433280227044208,0.7805196548340795,-0.0371916321296587,0.6575144508670521,0.6891666666666667,6.019511699676514,6.314148902893066,2.048954963684082,1384,1200
61,Tgfb1,Tgfbr1,0.7322443814809456,0.7694565278275658,-0.03721214634662018,0.29696531791907516,0.3258333333333333,2.553384780883789,2.8387515544891357,4.899741172790527,1384,1200
62,Lama3,Itga6,0.7952876744129794,0.8326131394728373,-0.0373254650598579,0.21893063583815028,0.21833333333333332,1.875162959098816,1.8769882917404175,1.4434186220169067,1384,1200
63,Spp1,Cd44,0.7495969494432815,0.787514439071043,-0.037917489627761536,0.6567919075144508,0.6883333333333334,5.961802005767822,6.271204471588135,2.048954963684082,1384,1200
64,Spp1,Itgb5,0.7991695964076018,0.8372345414656395,-0.0380649450580377,0.23482658959537572,0.15166666666666667,1.9935433864593506,1.2821238040924072,2.048954963684082,1384,1200
65,Spp1,Itga4,0.756507338033862,0.7955698733487937,-0.039062535314931646,0.6604046242774566,0.6758333333333333,6.084496021270752,6.20207405090332,2.048954963684082,1384,1200
66,Lama2,Itga3,0.7874859255148194,0.8276415474665265,-0.04015562195170708,0.125,0.15833333333333333,1.0616308450698853,1.3570177555084229,1.2718786001205444,1384,1200
67,Cdh1,Itga1,0.7959388205308265,0.8365607545080272,-0.04062193397720071,0.14739884393063585,0.15666666666666668,1.2661675214767456,1.3544394969940186,3.2274091243743896,1384,1200
68,Itga4,Vcam1,0.7177152403752239,0.7587605877507777,-0.041045347375553765,0.22904624277456648,0.20916666666666667,1.9594520330429077,1.8057489395141602,2.56325364112854,1384,1200
69,H2-DMb2,Cd4,0.6557596207448072,0.6969161749262103,-0.04115655418140307,0.6856936416184971,0.7183333333333334,6.280999660491943,6.6105499267578125,3.118966579437256,1384,1200
70,Il2,Il2rb,0.7174649635452016,0.7591361167900504,-0.041671153244848824,0.47760115606936415,0.525,4.270533084869385,4.7342681884765625,0.03880273178219795,1384,1200
71,Ccl5,Ccr4,0.7265138458202819,0.7687989101000415,-0.04228506427975964,0.282514450867052,0.32916666666666666,2.487549066543579,2.90313458442688,0.6094133257865906,1384,1200
72,Lama1,Cd44,0.742719370972557,0.7850124847887662,-0.04229311381620915,0.6567919075144508,0.6883333333333334,5.961802005767822,6.271204471588135,0.16024239361286163,1384,1200
73,Il17f,Il17ra,0.7165382274959758,0.7593922534459469,-0.04285402594997101,0.28901734104046245,0.2875,2.4770829677581787,2.4696121215820312,0.057830534875392914,1384,1200
74,Jam2,F11r,0.7759730823905786,0.8191059326786896,-0.04313285028811098,0.15606936416184972,0.19083333333333333,1.3157379627227783,1.6313389539718628,2.008331060409546,1384,1200
75,Il18,Il18rap,0.8098551623662733,0.85379091573602,-0.043935753369746644,0.16618497109826588,0.15833333333333333,1.4126474857330322,1.3591907024383545,0.7288833856582642,1384,1200
76,Ccl4,Ccr5,0.776763875160281,0.8207454956157214,-0.04398162045544041,0.2514450867052023,0.1325,2.1961896419525146,1.1479541063308716,0.1555214375257492,1384,1200
77,Dll1,Notch2,0.7601032015197147,0.8046316353472895,-0.044528433827574876,0.37283236994219654,0.37583333333333335,3.2169246673583984,3.2539942264556885,1.0893017053604126,1384,1200
78,Ifng,Ifngr1,0.7121933807626936,0.7568865825862475,-0.04469320182355396,0.615606936416185,0.5766666666666667,5.543380260467529,5.166908264160156,0.0498739629983902,1384,1200
79,Col1a1,Itga9,0.7958013093645547,0.840890790710081,-0.04508948134552626,0.10621387283236994,0.085,0.886751115322113,0.7144564986228943,3.2534241676330566,1384,1200
80,Fn1,Itga5,0.8061288612288846,0.8513900958164974,-0.045261234587612775,0.11416184971098266,0.09,0.9649397730827332,0.7617132663726807,5.665269374847412,1384,1200
81,Lamc2,Itgav,0.7473278226195564,0.7939851690266309,-0.04665734640707442,0.43786127167630057,0.4375,3.7998905181884766,3.8223869800567627,2.041736364364624,1384,1200
82,Lama1,Itgb1,0.7311475400422307,0.7779560554155676,-0.046808515373336856,0.6575144508670521,0.6891666666666667,6.019511699676514,6.314148902893066,0.16024239361286163,1384,1200
83,Lamb1,Itga1,0.7782374517219238,0.8261579812430109,-0.04792052952108705,0.14739884393063585,0.15666666666666668,1.2661675214767456,1.3544394969940186,1.9755010604858398,1384,1200
84,Reln,Itga3,0.7357485861618449,0.7839349838755068,-0.048186397713661844,0.125,0.15833333333333333,1.0616308450698853,1.3570177555084229,0.2381298989057541,1384,1200
85,Itga4,Itgb7,0.6556634022080802,0.7038903549280714,-0.04822695271999122,0.6567919075144508,0.5558333333333333,5.963653564453125,4.942928791046143,2.56325364112854,1384,1200
86,Pecam1,Pecam1,0.7348294491072787,0.7833407568853986,-0.04851130777811996,0.3627167630057804,0.44166666666666665,3.1851086616516113,3.950131416320801,5.400041103363037,1384,1200
87,Lamb1,Itga9,0.8156846934036083,0.8645203439937963,-0.04883565059018802,0.10621387283236994,0.085,0.886751115322113,0.7144564986228943,1.9755010604858398,1384,1200
88,Il10,Il10ra,0.7379031294816947,0.7877364767053693,-0.04983334722367461,0.273121387283237,0.20666666666666667,2.342599868774414,1.7799283266067505,0.036466892808675766,1384,1200
89,Cd40lg,Itgb1,0.589713745677328,0.63956412308877,-0.04985037741144194,0.6575144508670521,0.6891666666666667,6.019511699676514,6.314148902893066,0.2085462510585785,1384,1200
90,C3,Itgax,0.7645379456650215,0.8145387264255165,-0.05000078076049497,0.16835260115606937,0.195,1.4443682432174683,1.6973713636398315,6.418166637420654,1384,1200
91,Il9,Il2rg,0.792413075872237,0.8424692524413544,-0.05005617656911743,0.7861271676300579,0.7941666666666667,7.257000923156738,7.337060451507568,0.008862395770847797,1384,1200
